wheelchair_accessible_entrance,wheelchair_accessible_parking,women_prayer_section,address,city,country_code,latitud,longituf,neighborhood,openinghours_0_day,openinghours_0_hours,openinghours_1_day,openinghours_1_hours,openinghours_2_day,openinghours_2_hours,openinghours_3_day,openinghours_3_hours,openinghours_4_day,openinghours_4_hours,openinghours_5_day,openingHours_5_hours,openinghours_6_day,openinghours_6_hours,phone,reviews_count,search_pageurl,,state,street,title,url_slug,image_name,total_score,url_google,website
TRUE,TRUE,FALSE,Dubai Investment Park - 2 - Dubai - United Arab Emirates,Dubai,AE,249.864.127,551.982.602,Dubai Investments Park,,,,,,,,,,,,,,,,28,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,Dubai Investment Park - 2,Jama Masjid Madani (Ahl E Sunnat Wa Jamat Hanafi Barelvi),jama-masjid-madani-ahl-e-sunnat-wa-jamat-hanafi-barelvi,jama-masjid-madani-ahl-e-sunnat-wa-jamat-hanafi-barelvi-mosque.jpg,4.5,https://www.google.com/maps/search/?api=1&query=Jama%20Masjid%20Madani%20(Ahl%20E%20Sunnat%20Wa%20Jamat%20Hanafi%20Barelvi)&query_place_id=ChIJiSPU2ENyXz4RsGs2KKOTtjs,
TRUE,TRUE,FALSE,34HC+GQ7 - Unnamed Road - Bluewaters Island - Dubai - United Arab Emirates,Dubai,AE,250.787.829,551.219.082,Bluewaters Island,,,,,,,,,,,,,,,,54,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,34HC+GQ7 - Unnamed Road,Masjid Tasamah,masjid-tasamah,masjid-tasamah.jpg,4.7,https://www.google.com/maps/search/?api=1&query=Masjid%20Tasamah&query_place_id=ChIJHQtyIRAVXz4Rp_O0WsAsYbo,
TRUE,TRUE,FALSE,W6XC+6WH - Unnamed Road - Dubai - United Arab Emirates,Dubai,AE,249.480.687,552.223.698,,,,,,,,,,,,,,,,,5,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,W6XC+6WH - Unnamed Road,Dubai South Mosque Near Round About,dubai-south-mosque-near-round-about,dubai-south-mosque-near-round-about.jpg,4.6,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B3%D8%AC%D8%AF%20%D8%AF%D8%A8%D9%8A%20%D8%AC%D9%86%D9%88%D8%A8&query_place_id=ChIJxcAviipzXz4RkvYBgMMw-C8,
TRUE,TRUE,FALSE,Dubai Investment Park - 1 - Dubai - United Arab Emirates,Dubai,AE,249.800.358,551.556.715,Dubai Investments Park,,,,,,,,,,,,,,,,29,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,Dubai Investment Park - 1,AL MUJAMA MASJID,al-mujama-masjid-mosque,al-mujama-masjid.jpg,4.6,https://www.google.com/maps/search/?api=1&query=AL%20MUJAMA%20MASJID&query_place_id=ChIJvWAhFb9yXz4RszDZYSu4V84,
TRUE,TRUE,FALSE,"D591, 247 - Jebel Ali Village - Discovery Gardens - Dubai - United Arab Emirates",Dubai,AE,250.280.195,55.157.402,Jebel Ali Village - Discovery Gardens,,,,,,,,,,,,,,,,65,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,"D591, 247",AL SABIREEN MASJID,al-sabireen-masjid,al-sabireen-masjid.jpg,4.9,https://www.google.com/maps/search/?api=1&query=AL%20SABIREEN%20MASJID&query_place_id=ChIJAULrADhtXz4R4q7R7VQMb_0,
TRUE,TRUE,FALSE,36MP+C4P - Al Barsha - Al Barsha South - Dubai - United Arab Emirates,Dubai,AE,250.835.934,552.353.194,Al Barsha - Al Barsha South,,,,,,,,,,,,,,,971800600,109,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,36MP+C4P,Eida bint Mubarak Mosque,eida-bint-mubarak-mosque,eida-bint-mubarak-mosque.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Eida%20bint%20Mubarak%20Mosque&query_place_id=ChIJ61SglqJuXz4Rf3cdpa2ISjU,
TRUE,TRUE,FALSE,Dubai - United Arab Emirates,Dubai,AE,24.926.409,550.064.665,,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,0,"https://www.google.com/maps/search/Mosqu/@24.950002848335476,54.953303475156446,14z?hl=en",,Dubai,,Prayer Room,prayer-room-mosque,prayer-room-mosque.jpg,,https://www.google.com/maps/search/?api=1&query=Prayer%20Room&query_place_id=ChIJ5ZBUSucPXz4RDVQ0G5zcxAI,
TRUE,TRUE,FALSE,275X+2WV - Dubai - United Arab Emirates,Dubai,AE,250.076.137,552.998.026,,,,,,,,,,,,,,,,,39,"https://www.google.com/maps/search/Mosqu/@24.88797084750322,55.22625165000002,14z?hl=en",,Dubai,275X+2WV,Mira Prayer Hall,mira-prayer-hall-mosque,mira-prayer-hall-mosque.jpg,4.6,https://www.google.com/maps/search/?api=1&query=Mira%20Prayer%20Hall&query_place_id=ChIJ1aycEW9wXz4RJlhQ_gxl-v0,
TRUE,TRUE,FALSE,109 Sheikh Zayed Rd - Trade Centre - DIFC - Dubai - United Arab Emirates,Dubai,AE,252.093.417,552.777.938,Trade Centre - DIFC,Monday,11 AM to 10 PM,Tuesday,11 AM to 10 PM,Wednesday,11 AM to 10 PM,Thursday,11 AM to 10 PM,Friday,11 AM to 10 PM,Saturday,11 AM to 10 PM,Sunday,11 AM to 10 PM,,14,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,109 Sheikh Zayed Rd,Financial Center Mosque,financial-center-mosque,financial-center-mosque.jpg,4.4,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B3%D8%AC%D8%AF%20%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%20%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A&query_place_id=ChIJsfIiT8ZDXz4RTyWbcEXBv_Q,
TRUE,TRUE,FALSE,57WJ+Q3H - Downtown Dubai - Dubai - United Arab Emirates,Dubai,AE,251.969.291,552.802.283,Downtown Dubai,,,,,,,,,,,,,,,,112,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,57WJ+Q3H,Dubai Mall Mosque,dubai-mall-mosque,dubai-mall-mosque.jpg,4.7,https://www.google.com/maps/search/?api=1&query=Dubai%20Mall%20Mosque&query_place_id=ChIJUydZZcNpXz4RZPvVj5QTHXY,
